"","age","profession","stop1","anger1","forgive1.1","forgive1.2","forgive1.3","forgive1.4","forgive1.5","sincerity1.1","sincerity1.2","sincerity1.3","stop2","anger2","forgive2.1","forgive2.2","forgive2.3","forgive2.4","forgive2.5","sincerity2.1","sincerity2.2","sincerity2.3","stop3","anger3","forgive3.1","forgive3.2","forgive3.3","forgive3.4","forgive3.5","sincerity3.1","sincerity3.2","sincerity3.3","stop4","anger4","forgive4.1","forgive4.2","forgive4.3","forgive4.4","forgive4.5","sincerity4.1","sincerity4.2","sincerity4.3","sex","position","intence","apology.cost","forgive","sincerity","cost.num","int.num"
"60",38,1,1,2,1,5,5,1,1,5,4,4,5,5,4,2,2,4,1,2,2,2,2,4,1,4,4,1,1,4,4,3,4,4,3,3,3,4,1,4,5,4,"male",3,"Intence","Costly",3.85,3.58333333333333,1,1
"61",32,4,3,3,3,4,3,3,3,4,4,4,4,4,4,2,3,4,3,4,5,3,2,3,2,4,4,3,3,4,4,3,3,4,3,3,4,3,2,4,5,4,"female",6,"No-Intence","Non-Costly",3.15,4,0,0
"62",25,1,3,4,2,4,4,2,2,4,5,4,2,3,1,5,5,1,1,5,4,4,4,4,4,2,2,4,2,2,4,2,2,5,2,4,4,2,1,4,5,5,"female",7,"Intence","Costly",3.9,4,1,1
"63",30,1,3,4,4,3,4,2,3,4,2,3,5,2,1,5,5,1,1,4,3,5,2,2,1,2,2,1,1,1,1,2,5,1,2,3,4,1,1,4,5,4,"male",1,"No-Intence","Non-Costly",4.05,3.16666666666667,0,0
"64",40,1,4,5,3,3,3,3,2,3,5,3,5,5,5,2,2,4,3,1,2,1,4,5,4,3,2,4,4,2,2,1,3,4,4,3,3,4,3,3,3,2,"male",7,"Intence","Non-Costly",2.5,2.33333333333333,0,1
"65",29,4,1,2,1,4,5,1,1,5,5,5,2,3,2,4,4,2,1,4,3,4,1,2,1,5,5,1,1,5,5,5,2,3,2,4,4,1,1,4,4,4,"male",5,"No-Intence","Costly",4.6,4.41666666666667,1,0
"66",35,1,4,4,3,3,3,3,4,3,3,4,3,4,3,3,4,4,3,3,4,4,4,3,2,3,2,4,3,2,4,3,4,3,4,4,3,3,3,3,4,4,"male",7,"Intence","Costly",2.9,3.41666666666667,1,1
"67",37,1,1,1,1,5,5,1,1,3,1,3,1,2,1,4,4,1,1,2,3,2,3,3,1,4,4,1,1,3,5,4,4,4,3,2,2,2,1,3,5,2,"male",4,"Intence","Non-Costly",4.35,3,0,1
"68",33,1,2,3,1,5,4,1,1,4,5,4,4,5,3,2,2,3,4,2,4,2,4,5,3,3,4,3,4,4,5,5,1,3,1,5,5,1,1,5,4,3,"male",8,"No-Intence","Costly",3.8,3.91666666666667,1,0
"69",28,1,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,4,3,4,3,2,3,3,2,4,4,4,3,3,4,3,4,3,4,4,4,4,4,3,4,"male",9,"No-Intence","Non-Costly",2.9,3.41666666666667,0,0
"70",35,1,2,3,1,5,5,3,1,5,1,5,5,5,3,4,4,4,1,5,5,5,2,3,1,4,5,1,1,5,5,5,1,4,3,3,3,4,1,3,5,4,"female",6,"No-Intence","Costly",4.05,4.41666666666667,1,0
"71",35,1,4,4,3,4,3,3,3,3,5,4,4,4,4,3,3,4,3,2,5,2,3,4,2,4,3,4,3,3,4,3,3,3,4,2,3,4,4,2,4,3,"female",6,"Intence","Costly",2.8,3.33333333333333,1,1
"72",30,3,3,4,2,4,4,2,2,4,5,4,3,4,3,4,3,3,2,4,5,4,3,3,2,4,4,2,2,4,5,4,3,3,2,4,4,2,2,4,4,4,"male",6,"No-Intence","Costly",3.85,4.25,1,0
"73",36,3,2,4,1,4,4,2,1,5,4,5,3,4,3,4,3,4,1,2,3,2,5,5,4,3,3,4,1,3,5,4,2,5,2,4,4,1,1,3,4,3,"female",5,"Intence","Non-Costly",3.8,3.58333333333333,0,1
"74",36,4,3,4,2,2,4,2,1,3,2,3,4,4,4,1,2,4,4,2,2,2,4,4,3,2,3,3,3,2,2,2,5,5,5,1,2,5,4,2,2,1,"female",5,"Intence","Non-Costly",2.45,2.08333333333333,0,1
"75",37,1,2,3,2,2,4,2,2,4,3,4,5,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,4,4,4,4,4,2,2,4,3,2,3,3,"male",6,"Intence","Costly",2.95,3.33333333333333,1,1
"76",39,3,4,5,4,2,2,5,1,4,5,4,4,4,5,4,4,5,4,4,5,4,5,5,2,4,4,2,1,4,5,4,5,5,5,1,1,5,4,2,4,2,"female",9,"Intence","Costly",2.55,3.91666666666667,1,1
"77",40,3,3,3,3,4,4,2,2,3,4,4,4,4,3,3,3,4,3,3,4,3,4,4,3,3,3,3,2,3,5,3,3,4,3,3,4,3,3,3,5,4,"female",6,"Intence","Costly",3.25,3.66666666666667,1,1
"78",36,4,4,5,3,3,3,3,2,4,5,4,5,5,4,2,2,4,2,3,3,3,4,4,3,2,2,4,2,2,4,3,4,4,2,3,3,2,2,4,5,4,"male",9,"Intence","Costly",2.95,3.66666666666667,1,1
"79",31,1,3,4,3,2,3,3,2,4,5,2,3,4,2,3,3,1,1,3,4,4,2,4,2,4,5,3,2,4,4,3,3,4,3,2,3,2,1,4,5,3,"male",9,"Intence","Non-Costly",3.6,3.75,0,1
"80",27,3,3,4,2,4,5,1,3,4,4,4,3,4,3,4,4,3,1,3,3,3,3,4,2,2,3,3,1,3,3,2,2,3,1,3,4,2,1,5,4,4,"male",8,"Intence","Non-Costly",3.9,3.5,0,1
"81",32,3,3,3,2,5,5,1,1,4,2,4,4,4,2,3,4,2,2,3,3,3,4,3,3,3,2,3,2,3,3,2,2,3,2,4,3,2,1,3,3,3,"male",7,"No-Intence","Non-Costly",3.9,3,0,0
"82",29,4,5,4,1,5,4,2,2,4,3,4,2,2,1,5,5,1,1,3,3,3,5,5,4,4,2,5,1,5,5,5,4,4,3,3,5,4,1,3,5,3,"female",6,"Intence","Non-Costly",3.95,3.83333333333333,0,1
"83",39,1,2,2,1,5,5,1,1,5,2,5,4,4,2,4,3,2,3,5,5,5,2,3,2,4,4,1,1,4,5,4,4,5,3,3,3,3,3,5,4,4,"male",11,"No-Intence","Costly",4,4.41666666666667,1,0
"84",37,1,1,2,1,5,5,1,1,5,5,5,2,4,1,4,4,2,1,4,3,4,1,3,1,5,5,1,1,5,5,5,1,2,1,5,5,1,1,5,5,5,"male",11,"No-Intence","Non-Costly",4.85,4.66666666666667,0,0
"85",35,1,3,3,2,5,4,1,1,4,4,5,5,5,5,1,1,5,3,1,5,1,3,3,4,2,2,4,3,1,4,2,4,4,3,3,3,3,3,2,4,3,"male",6,"No-Intence","Non-Costly",2.8,3,0,0
"86",39,1,2,2,2,4,4,2,2,4,3,4,3,3,2,3,4,2,2,4,3,3,2,3,2,4,4,2,2,4,3,4,3,4,2,3,4,3,3,4,3,4,"female",5,"No-Intence","Costly",3.8,3.58333333333333,1,0
"87",22,2,3,4,2,4,4,2,2,4,5,4,3,4,4,3,2,4,3,3,5,3,3,2,4,3,3,4,3,3,5,4,4,4,4,3,2,4,3,4,5,4,"female",6,"No-Intence","Non-Costly",2.85,4.08333333333333,0,0
"88",37,4,1,3,1,5,5,1,1,5,5,4,2,3,2,3,3,3,1,3,4,3,1,1,1,5,5,1,1,5,4,5,2,5,2,1,2,4,1,2,5,2,"female",5,"No-Intence","Non-Costly",4.1,3.91666666666667,0,0
"89",29,4,3,4,3,3,3,3,2,4,5,4,3,4,3,3,3,3,2,3,4,3,2,4,1,4,4,1,2,4,5,4,2,3,2,4,3,2,2,4,5,4,"female",6,"No-Intence","Non-Costly",3.65,4.08333333333333,0,0
"90",25,1,4,4,3,4,4,3,3,4,5,4,3,4,2,4,4,2,2,4,4,4,3,3,3,4,3,3,3,3,4,3,4,5,3,3,4,3,3,3,4,4,"female",6,"No-Intence","Non-Costly",3.45,3.83333333333333,0,0
"91",40,3,3,4,2,3,4,3,3,3,4,4,3,4,2,4,4,2,3,4,3,4,2,3,2,3,3,2,2,4,5,4,2,4,2,2,4,2,3,3,5,4,"male",4,"No-Intence","Non-Costly",3.55,3.91666666666667,0,0
"92",34,1,3,3,3,4,4,2,3,3,4,4,4,3,3,4,4,3,4,4,3,2,3,4,3,3,4,4,4,4,3,4,4,4,4,4,2,4,4,3,3,3,"male",6,"No-Intence","Non-Costly",3,3.33333333333333,0,0
"93",40,3,3,3,3,3,3,3,2,3,3,3,5,5,4,3,3,4,2,2,3,3,4,4,5,2,2,5,4,1,2,2,5,5,5,1,1,5,3,1,3,1,"female",6,"No-Intence","Non-Costly",2.25,2.25,0,0
"94",29,1,2,3,3,4,2,3,4,4,5,4,4,4,4,2,3,3,3,3,3,3,3,3,1,2,2,3,2,2,3,1,4,5,4,3,3,4,3,3,4,3,"male",6,"Intence","Non-Costly",2.8,3.16666666666667,0,1
"95",34,4,2,2,2,4,4,2,2,5,4,5,5,5,4,2,3,4,2,3,5,3,4,4,4,3,4,4,1,3,5,3,4,4,3,4,3,3,2,4,4,4,"male",6,"Intence","Costly",3.3,4,1,1
"96",35,1,1,2,1,2,2,1,1,4,4,4,2,3,1,4,4,1,2,4,4,3,3,4,3,3,3,3,2,3,4,3,4,4,3,3,3,3,2,3,4,3,"male",5,"Intence","Non-Costly",3.65,3.58333333333333,0,1
"97",36,1,2,4,2,4,4,2,1,3,3,3,3,3,2,4,5,3,2,3,3,4,3,4,3,3,4,3,2,3,4,4,4,4,4,2,2,4,2,4,4,3,"male",6,"No-Intence","Non-Costly",3.5,3.41666666666667,0,0
"98",40,1,5,5,5,2,1,5,4,3,4,3,4,5,3,2,2,4,2,5,5,2,4,4,5,1,1,5,5,2,3,2,5,5,4,4,2,4,1,3,5,3,"male",5,"Intence","Costly",2,3.33333333333333,1,1
"99",38,3,3,4,3,3,3,4,3,3,4,3,4,4,4,3,3,4,3,2,4,3,2,3,2,3,4,2,3,3,4,3,3,4,3,2,2,3,3,3,4,3,"male",7,"No-Intence","Non-Costly",2.9,3.25,0,0
"100",36,4,4,4,3,2,2,4,3,3,4,3,5,5,4,2,3,4,4,2,4,3,3,4,3,3,2,3,3,3,4,2,4,4,3,2,2,4,3,3,3,3,"female",8,"Intence","Non-Costly",2.45,3.08333333333333,0,1
"101",32,1,1,1,1,5,5,1,1,5,4,5,1,2,1,5,5,1,1,4,5,5,1,4,1,5,5,1,1,5,5,5,1,3,1,5,5,1,1,5,3,4,"male",5,"No-Intence","Costly",5,4.58333333333333,1,0
"102",38,1,3,4,2,4,4,2,2,5,4,4,4,4,4,2,3,4,3,3,4,3,3,3,3,2,3,2,3,4,4,3,2,2,1,4,4,1,1,4,4,4,"female",6,"No-Intence","Non-Costly",3.5,3.83333333333333,0,0
"103",26,1,2,2,1,5,1,1,1,5,3,5,3,4,1,4,3,1,1,4,4,4,2,3,1,4,3,1,1,3,4,3,4,3,1,4,4,1,1,4,4,4,"male",6,"Intence","Costly",4.4,3.91666666666667,1,1
